id,retweet_count,favorite_count
852936405516943360,1995,0
852912242202992640,1814,9056
852672615818899456,2143,14901
852553447878664193,3485,16307
852311364735569921,9904,33137
852226086759018497,6833,20022
852189679701164033,1582,11469
851861385021730816,19,0
851591660324737024,3473,16272
851464819735769094,7063,24303
851224888060895234,5729,20732
850753642995093505,9173,30999
850380195714523136,2620,13142
850333567704068097,334,3468
850145622816686080,3813,16409
850019790995546112,4886,20523
849776966551130114,7637,30666
849668094696017920,4965,0
849412302885593088,3166,15959
849336543269576704,1914,11485
849051919805034497,8525,42655
848690551926992896,4348,25367
848324959059550208,4630,24948
848213670039564288,738,8265
848212111729840128,3073,16463
847978865427394560,3287,0
847971574464610304,433,0
847962785489326080,5134,23727
847842811428974592,1340,5503
847617282490613760,421,7055
847606175596138505,3445,18938
847251039262605312,4329,20683
847157206088847362,5923,20124
847116187444137987,3215,21655
846874817362120707,3955,20309
846514051647705089,11696,45129
846505985330044928,3098,14267
846153765933735936,9156,32036
846139713627017216,10091,31337
846042936437604353,2904,16189
845812042753855489,8812,29636
845677943972139009,4845,25486
845397057150107648,1828,7732
845306882940190720,5453,23637
845098359547420673,7759,0
844979544864018432,2592,13820
844973813909606400,3248,15308
844580511645339650,3174,16714
844223788422217728,2233,13820
843981021012017153,2986,15362
843856843873095681,4691,21778
843604394117681152,2785,17141
843235543001513987,6108,21867
842846295480000512,3689,15468
842765311967449089,1303,6857
842535590457499648,3561,18387
842163532590374912,5886,24862
842115215311396866,3084,14225
841833993020538882,15440,0
841680585030541313,7933,26135
841439858740625411,3751,12869
841320156043304961,5590,20119
841314665196081154,4759,16096
841077006473256960,5415,23267
840761248237133825,1794,0
840728873075638272,16465,0
840698636975636481,2,178
840696689258311684,995,12495
840632337062862849,1794,9148
840370681858686976,4639,16762
840268004936019968,5844,19636
839990271299457024,2333,13671
839549326359670784,7931,28010
839290600511926273,146,0
839239871831150596,6667,27726
838952994649550848,4075,20010
838921590096166913,2104,11376
838916489579200512,35,0
838831947270979586,11265,0
838561493054533637,1361,11137
838476387338051585,4887,23026
838201503651401729,10304,0
838150277551247360,339,1706
838085839343206401,1,144
838083903487373313,3217,17993
837820167694528512,8049,34880
837482249356513284,448,3915
837471256429613056,2325,13076
837110210464448512,2429,16388
836989968035819520,2337,13013
836753516572119041,4751,19714
836677758902222849,2274,12880
836648853927522308,563,0
836397794269200385,28245,0
836380477523124226,3056,15085
836260088725786625,4399,21779
836001077879255040,4368,19529
835685285446955009,8340,0
835574547218894849,3701,18195
835536468978302976,1742,0
835309094223372289,21569,0
835297930240217089,3086,16826
835264098648616962,1742,7906
835246439529840640,73,2152
835172783151792128,5906,26766
835152434251116546,3106,22957
834931633769889797,1689,11078
834786237630337024,5625,21769
